Campaign,Ad Group,Keyword,Criterion Type,Labels
SEM_Campaign,Bangkok,Bangkok hotels booking,Exact,Booking
SEM_Campaign,Bangkok,Bangkok hotels booking,Phrase,Booking
SEM_Campaign,Bangkok,+Bangkok +hotels +booking,Broad,Booking
SEM_Campaign,Bangkok,Bangkok hotels reservation,Exact,Reservation
SEM_Campaign,Bangkok,Bangkok hotels reservation,Phrase,Reservation
SEM_Campaign,Bangkok,+Bangkok +hotels +reservation,Broad,Reservation
SEM_Campaign,Bangkok,Bangkok hotels promo,Exact,Promo
SEM_Campaign,Bangkok,Bangkok hotels promo,Phrase,Promo
SEM_Campaign,Bangkok,+Bangkok +hotels +promo,Broad,Promo
SEM_Campaign,Bangkok,Bangkok hotels deals,Exact,Deals
SEM_Campaign,Bangkok,Bangkok hotels deals,Phrase,Deals
SEM_Campaign,Bangkok,+Bangkok +hotels +deals,Broad,Deals
SEM_Campaign,Bangkok,Bangkok hotels promotion,Exact,Promotion
SEM_Campaign,Bangkok,Bangkok hotels promotion,Phrase,Promotion
SEM_Campaign,Bangkok,+Bangkok +hotels +promotion,Broad,Promotion
SEM_Campaign,Bangkok,Bangkok hotels discount,Exact,Discount
SEM_Campaign,Bangkok,Bangkok hotels discount,Phrase,Discount
SEM_Campaign,Bangkok,+Bangkok +hotels +discount,Broad,Discount
SEM_Campaign,Bangkok,booking Bangkok hotels,Exact,Booking
SEM_Campaign,Bangkok,booking Bangkok hotels,Phrase,Booking
SEM_Campaign,Bangkok,+booking +Bangkok +hotels,Broad,Booking
SEM_Campaign,Bangkok,reservation Bangkok hotels,Exact,Reservation
SEM_Campaign,Bangkok,reservation Bangkok hotels,Phrase,Reservation
SEM_Campaign,Bangkok,+reservation +Bangkok +hotels,Broad,Reservation
SEM_Campaign,Bangkok,promo Bangkok hotels,Exact,Promo
SEM_Campaign,Bangkok,promo Bangkok hotels,Phrase,Promo
SEM_Campaign,Bangkok,+promo +Bangkok +hotels,Broad,Promo
SEM_Campaign,Bangkok,deals Bangkok hotels,Exact,Deals
SEM_Campaign,Bangkok,deals Bangkok hotels,Phrase,Deals
SEM_Campaign,Bangkok,+deals +Bangkok +hotels,Broad,Deals
SEM_Campaign,Bangkok,promotion Bangkok hotels,Exact,Promotion
SEM_Campaign,Bangkok,promotion Bangkok hotels,Phrase,Promotion
SEM_Campaign,Bangkok,+promotion +Bangkok +hotels,Broad,Promotion
SEM_Campaign,Bangkok,discount Bangkok hotels,Exact,Discount
SEM_Campaign,Bangkok,discount Bangkok hotels,Phrase,Discount
SEM_Campaign,Bangkok,+discount +Bangkok +hotels,Broad,Discount
SEM_Campaign,Bangkok,Bangkok hotels booking reservation,Exact,Booking;Reservation
SEM_Campaign,Bangkok,Bangkok hotels booking reservation,Phrase,Booking;Reservation
SEM_Campaign,Bangkok,+Bangkok +hotels +booking +reservation,Broad,Booking;Reservation
SEM_Campaign,Bangkok,Bangkok hotels booking promo,Exact,Booking;Promo
SEM_Campaign,Bangkok,Bangkok hotels booking promo,Phrase,Booking;Promo
SEM_Campaign,Bangkok,+Bangkok +hotels +booking +promo,Broad,Booking;Promo
SEM_Campaign,Bangkok,Bangkok hotels booking deals,Exact,Booking;Deals
SEM_Campaign,Bangkok,Bangkok hotels booking deals,Phrase,Booking;Deals
SEM_Campaign,Bangkok,+Bangkok +hotels +booking +deals,Broad,Booking;Deals
SEM_Campaign,Bangkok,Bangkok hotels booking promotion,Exact,Booking;Promotion
SEM_Campaign,Bangkok,Bangkok hotels booking promotion,Phrase,Booking;Promotion
SEM_Campaign,Bangkok,+Bangkok +hotels +booking +promotion,Broad,Booking;Promotion
SEM_Campaign,Bangkok,Bangkok hotels booking discount,Exact,Booking;Discount
SEM_Campaign,Bangkok,Bangkok hotels booking discount,Phrase,Booking;Discount
